Category	Name
6) Indigenous Americas (pre-1900)	Moctezuma I
6) Indigenous Americas (pre-1900)	Moctezuma II
6) Indigenous Americas (pre-1900)	Cuitlahuac
6) Indigenous Americas (pre-1900)	Cuauhtemoc
6) Indigenous Americas (pre-1900)	Pachacuti
6) Indigenous Americas (pre-1900)	Topa Inca Yupanqui
6) Indigenous Americas (pre-1900)	Huayna Capac
6) Indigenous Americas (pre-1900)	Atahualpa
6) Indigenous Americas (pre-1900)	Manco Inca
6) Indigenous Americas (pre-1900)	Tlacaelel
6) Indigenous Americas (pre-1900)	Tecumseh
6) Indigenous Americas (pre-1900)	Hiawatha
6) Indigenous Americas (pre-1900)	Popé
6) Indigenous Americas (pre-1900)	Sequoyah
6) Indigenous Americas (pre-1900)	Sitting Bull
6) Indigenous Americas (pre-1900)	Geronimo
7) Medieval Europe	Charlemagne
7) Medieval Europe	Alfred the Great
7) Medieval Europe	William the Conqueror
7) Medieval Europe	Eleanor of Aquitaine
7) Medieval Europe	Hildegard of Bingen
7) Medieval Europe	Pope Gregory VII
7) Medieval Europe	Pope Innocent III
7) Medieval Europe	Thomas Aquinas
7) Medieval Europe	Anselm of Canterbury
7) Medieval Europe	Peter Abelard
7) Medieval Europe	Geoffrey Chaucer
7) Medieval Europe	Dante Alighieri
7) Medieval Europe	Giotto
7) Medieval Europe	Joan of Arc
7) Medieval Europe	Frederick II, Holy Roman Emperor
7) Medieval Europe	Philip II of France
7) Medieval Europe	Richard the Lionheart
7) Medieval Europe	Isabella I of Castile
7) Medieval Europe	Jan Hus
7) Medieval Europe	Christine de Pizan
8) Islamic World (600–1500)	Muhammad
8) Islamic World (600–1500)	Abu Bakr
8) Islamic World (600–1500)	Umar ibn al-Khattab
8) Islamic World (600–1500)	Uthman ibn Affan
8) Islamic World (600–1500)	Ali ibn Abi Talib
8) Islamic World (600–1500)	Aisha bint Abu Bakr
8) Islamic World (600–1500)	Al-Mansur
8) Islamic World (600–1500)	Harun al-Rashid
8) Islamic World (600–1500)	Al-Khwarizmi
8) Islamic World (600–1500)	Al-Razi (Rhazes)
8) Islamic World (600–1500)	Ibn Sina (Avicenna)
8) Islamic World (600–1500)	Ibn al-Haytham
8) Islamic World (600–1500)	Al-Biruni
8) Islamic World (600–1500)	Al-Ghazali
8) Islamic World (600–1500)	Ibn Rushd (Averroes)
8) Islamic World (600–1500)	Al-Idrisi
8) Islamic World (600–1500)	Omar Khayyam
8) Islamic World (600–1500)	Rumi
8) Islamic World (600–1500)	Ibn Arabi
8) Islamic World (600–1500)	Saladin
9) East Asia (900–1700)	Zhu Xi
9) East Asia (900–1700)	Shen Kuo
9) East Asia (900–1700)	Su Song
9) East Asia (900–1700)	Wang Anshi
9) East Asia (900–1700)	Wang Yangming
9) East Asia (900–1700)	Kublai Khan
9) East Asia (900–1700)	Hongwu Emperor
9) East Asia (900–1700)	Yongle Emperor
9) East Asia (900–1700)	Zheng He
9) East Asia (900–1700)	Li Shizhen
9) East Asia (900–1700)	Sejong the Great
9) East Asia (900–1700)	Jang Yeong-sil
9) East Asia (900–1700)	Yi Sun-sin
9) East Asia (900–1700)	Murasaki Shikibu
9) East Asia (900–1700)	Sei Shonagon
9) East Asia (900–1700)	Zeami Motokiyo
9) East Asia (900–1700)	Ashikaga Yoshimitsu
9) East Asia (900–1700)	Oda Nobunaga
9) East Asia (900–1700)	Toyotomi Hideyoshi
9) East Asia (900–1700)	Tokugawa Ieyasu
10) South & Southeast Asia (1000–1700)	Rajaraja Chola I
10) South & Southeast Asia (1000–1700)	Rajendra Chola I
10) South & Southeast Asia (1000–1700)	Jayavarman VII
10) South & Southeast Asia (1000–1700)	Suryavarman II
10) South & Southeast Asia (1000–1700)	Gajah Mada
10) South & Southeast Asia (1000–1700)	Hayam Wuruk
10) South & Southeast Asia (1000–1700)	Parameswara
10) South & Southeast Asia (1000–1700)	Trần Hưng Đạo
10) South & Southeast Asia (1000–1700)	Lê Lợi
10) South & Southeast Asia (1000–1700)	Nguyễn Trãi
10) South & Southeast Asia (1000–1700)	Alauddin Khalji
10) South & Southeast Asia (1000–1700)	Babur
10) South & Southeast Asia (1000–1700)	Akbar
10) South & Southeast Asia (1000–1700)	Jahangir
10) South & Southeast Asia (1000–1700)	Shah Jahan
10) South & Southeast Asia (1000–1700)	Aurangzeb
10) South & Southeast Asia (1000–1700)	Shivaji
10) South & Southeast Asia (1000–1700)	Rani Durgavati
10) South & Southeast Asia (1000–1700)	Kabir
10) South & Southeast Asia (1000–1700)	Guru Nanak
11) Renaissance & Early Modern Europe (1400–1650)	Johannes Gutenberg
11) Renaissance & Early Modern Europe (1400–1650)	Leonardo da Vinci
11) Renaissance & Early Modern Europe (1400–1650)	Michelangelo
11) Renaissance & Early Modern Europe (1400–1650)	Raphael
11) Renaissance & Early Modern Europe (1400–1650)	Sandro Botticelli
11) Renaissance & Early Modern Europe (1400–1650)	Titian
11) Renaissance & Early Modern Europe (1400–1650)	Albrecht Dürer
11) Renaissance & Early Modern Europe (1400–1650)	Niccolò Machiavelli
11) Renaissance & Early Modern Europe (1400–1650)	Erasmus
11) Renaissance & Early Modern Europe (1400–1650)	Thomas More
11) Renaissance & Early Modern Europe (1400–1650)	Martin Luther
11) Renaissance & Early Modern Europe (1400–1650)	John Calvin
11) Renaissance & Early Modern Europe (1400–1650)	Ignatius of Loyola
11) Renaissance & Early Modern Europe (1400–1650)	Teresa of Ávila
11) Renaissance & Early Modern Europe (1400–1650)	Elizabeth I
11) Renaissance & Early Modern Europe (1400–1650)	Henry VIII
11) Renaissance & Early Modern Europe (1400–1650)	Catherine de' Medici
11) Renaissance & Early Modern Europe (1400–1650)	William Shakespeare
11) Renaissance & Early Modern Europe (1400–1650)	Miguel de Cervantes
11) Renaissance & Early Modern Europe (1400–1650)	Francis Bacon
12) Scientific Revolution & Enlightenment (1600–1800)	Galileo Galilei
12) Scientific Revolution & Enlightenment (1600–1800)	Johannes Kepler
12) Scientific Revolution & Enlightenment (1600–1800)	René Descartes
12) Scientific Revolution & Enlightenment (1600–1800)	Blaise Pascal
12) Scientific Revolution & Enlightenment (1600–1800)	Robert Boyle
12) Scientific Revolution & Enlightenment (1600–1800)	Christiaan Huygens
12) Scientific Revolution & Enlightenment (1600–1800)	Robert Hooke
12) Scientific Revolution & Enlightenment (1600–1800)	Isaac Newton
12) Scientific Revolution & Enlightenment (1600–1800)	Gottfried Wilhelm Leibniz
12) Scientific Revolution & Enlightenment (1600–1800)	Baruch Spinoza
12) Scientific Revolution & Enlightenment (1600–1800)	John Locke
12) Scientific Revolution & Enlightenment (1600–1800)	David Hume
12) Scientific Revolution & Enlightenment (1600–1800)	Voltaire
12) Scientific Revolution & Enlightenment (1600–1800)	Jean-Jacques Rousseau
12) Scientific Revolution & Enlightenment (1600–1800)	Montesquieu
12) Scientific Revolution & Enlightenment (1600–1800)	Immanuel Kant
12) Scientific Revolution & Enlightenment (1600–1800)	Adam Smith
12) Scientific Revolution & Enlightenment (1600–1800)	Antoine Lavoisier
12) Scientific Revolution & Enlightenment (1600–1800)	Carl Linnaeus
12) Scientific Revolution & Enlightenment (1600–1800)	Mary Wollstonecraft
13) Revolutions & Statecraft (1700–1900)	Benjamin Franklin
13) Revolutions & Statecraft (1700–1900)	George Washington
13) Revolutions & Statecraft (1700–1900)	Thomas Jefferson
13) Revolutions & Statecraft (1700–1900)	Alexander Hamilton
13) Revolutions & Statecraft (1700–1900)	Napoleon Bonaparte
13) Revolutions & Statecraft (1700–1900)	Olympe de Gouges
13) Revolutions & Statecraft (1700–1900)	Toussaint Louverture
13) Revolutions & Statecraft (1700–1900)	Simón Bolívar
13) Revolutions & Statecraft (1700–1900)	José de San Martín
13) Revolutions & Statecraft (1700–1900)	Catherine the Great
13) Revolutions & Statecraft (1700–1900)	Peter the Great
13) Revolutions & Statecraft (1700–1900)	Emperor Qianlong
13) Revolutions & Statecraft (1700–1900)	Muhammad Ali of Egypt
13) Revolutions & Statecraft (1700–1900)	Kamehameha I
13) Revolutions & Statecraft (1700–1900)	Otto von Bismarck
13) Revolutions & Statecraft (1700–1900)	Giuseppe Garibaldi
13) Revolutions & Statecraft (1700–1900)	Abraham Lincoln
13) Revolutions & Statecraft (1700–1900)	Harriet Tubman
13) Revolutions & Statecraft (1700–1900)	Queen Victoria
13) Revolutions & Statecraft (1700–1900)	Florence Nightingale
14) Industrial Age Science & Engineering (1750–1900)	James Watt
14) Industrial Age Science & Engineering (1750–1900)	Matthew Boulton
14) Industrial Age Science & Engineering (1750–1900)	Richard Arkwright
14) Industrial Age Science & Engineering (1750–1900)	James Hargreaves
14) Industrial Age Science & Engineering (1750–1900)	George Stephenson
14) Industrial Age Science & Engineering (1750–1900)	Isambard Kingdom Brunel
14) Industrial Age Science & Engineering (1750–1900)	Michael Faraday
14) Industrial Age Science & Engineering (1750–1900)	James Clerk Maxwell
14) Industrial Age Science & Engineering (1750–1900)	Charles Darwin
14) Industrial Age Science & Engineering (1750–1900)	Gregor Mendel
14) Industrial Age Science & Engineering (1750–1900)	Louis Pasteur
14) Industrial Age Science & Engineering (1750–1900)	Robert Koch
14) Industrial Age Science & Engineering (1750–1900)	Dmitri Mendeleev
14) Industrial Age Science & Engineering (1750–1900)	Alexander Graham Bell
14) Industrial Age Science & Engineering (1750–1900)	Samuel Morse
14) Industrial Age Science & Engineering (1750–1900)	Thomas Edison
14) Industrial Age Science & Engineering (1750–1900)	Nikola Tesla
14) Industrial Age Science & Engineering (1750–1900)	Charles Babbage
14) Industrial Age Science & Engineering (1750–1900)	Ada Lovelace
14) Industrial Age Science & Engineering (1750–1900)	Wilhelm Röntgen
15) Science & Technology (1900–1950)	Marie Curie
15) Science & Technology (1900–1950)	Albert Einstein
15) Science & Technology (1900–1950)	Max Planck
15) Science & Technology (1900–1950)	Niels Bohr
15) Science & Technology (1900–1950)	Werner Heisenberg
15) Science & Technology (1900–1950)	Erwin Schrödinger
15) Science & Technology (1900–1950)	Paul Dirac
15) Science & Technology (1900–1950)	Enrico Fermi
15) Science & Technology (1900–1950)	Lise Meitner
15) Science & Technology (1900–1950)	J. Robert Oppenheimer
15) Science & Technology (1900–1950)	Alan Turing
15) Science & Technology (1900–1950)	John von Neumann
15) Science & Technology (1900–1950)	Claude Shannon
15) Science & Technology (1900–1950)	Hedy Lamarr
15) Science & Technology (1900–1950)	Alexander Fleming
15) Science & Technology (1900–1950)	Orville Wright
15) Science & Technology (1900–1950)	Wilbur Wright
15) Science & Technology (1900–1950)	Edwin Hubble
15) Science & Technology (1900–1950)	Kurt Gödel
15) Science & Technology (1900–1950)	Vannevar Bush
16) Computing & Internet (1950–present)	Grace Hopper
16) Computing & Internet (1950–present)	Margaret Hamilton
16) Computing & Internet (1950–present)	Barbara Liskov
16) Computing & Internet (1950–present)	Edsger W. Dijkstra
16) Computing & Internet (1950–present)	Donald Knuth
16) Computing & Internet (1950–present)	John McCarthy
16) Computing & Internet (1950–present)	Marvin Minsky
16) Computing & Internet (1950–present)	Dennis Ritchie
16) Computing & Internet (1950–present)	Ken Thompson
16) Computing & Internet (1950–present)	Linus Torvalds
16) Computing & Internet (1950–present)	Tim Berners-Lee
16) Computing & Internet (1950–present)	Vint Cerf
16) Computing & Internet (1950–present)	Bob Kahn
16) Computing & Internet (1950–present)	Steve Jobs
16) Computing & Internet (1950–present)	Bill Gates
16) Computing & Internet (1950–present)	Paul Allen
16) Computing & Internet (1950–present)	Larry Page
16) Computing & Internet (1950–present)	Sergey Brin
16) Computing & Internet (1950–present)	Jeff Bezos
16) Computing & Internet (1950–present)	Jensen Huang
17) Politics & Power (1900–present)	Vladimir Lenin
17) Politics & Power (1900–present)	Joseph Stalin
17) Politics & Power (1900–present)	Adolf Hitler
17) Politics & Power (1900–present)	Winston Churchill
17) Politics & Power (1900–present)	Franklin D. Roosevelt
17) Politics & Power (1900–present)	Mao Zedong
17) Politics & Power (1900–present)	Chiang Kai-shek
17) Politics & Power (1900–present)	Mustafa Kemal Atatürk
17) Politics & Power (1900–present)	Charles de Gaulle
17) Politics & Power (1900–present)	Margaret Thatcher
17) Politics & Power (1900–present)	Ronald Reagan
17) Politics & Power (1900–present)	Deng Xiaoping
17) Politics & Power (1900–present)	Mikhail Gorbachev
17) Politics & Power (1900–present)	Fidel Castro
17) Politics & Power (1900–present)	Jawaharlal Nehru
17) Politics & Power (1900–present)	Indira Gandhi
17) Politics & Power (1900–present)	Golda Meir
17) Politics & Power (1900–present)	Nelson Mandela
17) Politics & Power (1900–present)	Angela Merkel
17) Politics & Power (1900–present)	Vladimir Putin
18) Social Movements & Human Rights	Mahatma Gandhi
18) Social Movements & Human Rights	Martin Luther King Jr.
18) Social Movements & Human Rights	Malcolm X
18) Social Movements & Human Rights	Rosa Parks
18) Social Movements & Human Rights	Frederick Douglass
18) Social Movements & Human Rights	W. E. B. Du Bois
18) Social Movements & Human Rights	Susan B. Anthony
18) Social Movements & Human Rights	Emmeline Pankhurst
18) Social Movements & Human Rights	Simone de Beauvoir
18) Social Movements & Human Rights	Betty Friedan
18) Social Movements & Human Rights	Audre Lorde
18) Social Movements & Human Rights	Cesar Chavez
18) Social Movements & Human Rights	Dolores Huerta
18) Social Movements & Human Rights	Harvey Milk
18) Social Movements & Human Rights	Desmond Tutu
18) Social Movements & Human Rights	Lech Wałęsa
18) Social Movements & Human Rights	Václav Havel
18) Social Movements & Human Rights	Wangari Maathai
18) Social Movements & Human Rights	Malala Yousafzai
18) Social Movements & Human Rights	Greta Thunberg
19) Literature & Visual Arts (1800–present)	Jane Austen
19) Literature & Visual Arts (1800–present)	Mary Shelley
19) Literature & Visual Arts (1800–present)	Charles Dickens
19) Literature & Visual Arts (1800–present)	Leo Tolstoy
19) Literature & Visual Arts (1800–present)	Fyodor Dostoevsky
19) Literature & Visual Arts (1800–present)	Franz Kafka
19) Literature & Visual Arts (1800–present)	Marcel Proust
19) Literature & Visual Arts (1800–present)	James Joyce
19) Literature & Visual Arts (1800–present)	Virginia Woolf
19) Literature & Visual Arts (1800–present)	George Orwell
19) Literature & Visual Arts (1800–present)	Jorge Luis Borges
19) Literature & Visual Arts (1800–present)	Gabriel García Márquez
19) Literature & Visual Arts (1800–present)	Chinua Achebe
19) Literature & Visual Arts (1800–present)	Toni Morrison
19) Literature & Visual Arts (1800–present)	Pablo Picasso
19) Literature & Visual Arts (1800–present)	Vincent van Gogh
19) Literature & Visual Arts (1800–present)	Frida Kahlo
19) Literature & Visual Arts (1800–present)	Georgia O'Keeffe
19) Literature & Visual Arts (1800–present)	Andy Warhol
19) Literature & Visual Arts (1800–present)	Ai Weiwei
20) Music, Film & Popular Culture	Johann Sebastian Bach
20) Music, Film & Popular Culture	Wolfgang Amadeus Mozart
20) Music, Film & Popular Culture	Ludwig van Beethoven
20) Music, Film & Popular Culture	Giuseppe Verdi
20) Music, Film & Popular Culture	Richard Wagner
20) Music, Film & Popular Culture	Pyotr Ilyich Tchaikovsky
20) Music, Film & Popular Culture	Igor Stravinsky
20) Music, Film & Popular Culture	Louis Armstrong
20) Music, Film & Popular Culture	Duke Ellington
20) Music, Film & Popular Culture	Billie Holiday
20) Music, Film & Popular Culture	Ella Fitzgerald
20) Music, Film & Popular Culture	Aretha Franklin
20) Music, Film & Popular Culture	Bob Dylan
20) Music, Film & Popular Culture	John Lennon
20) Music, Film & Popular Culture	Paul McCartney
20) Music, Film & Popular Culture	Michael Jackson
20) Music, Film & Popular Culture	Charlie Chaplin
20) Music, Film & Popular Culture	Akira Kurosawa
20) Music, Film & Popular Culture	Walt Disney
20) Music, Film & Popular Culture	Hayao Miyazaki
